id,sentence1,label
6219,"@user @user Project much, do you? Every campaign flier I get in the mail from Dem candidates is about healthcare, education funding, and the wealth gap; every flier from their GOP opponents is so-and-so will stand with Nancy Pelosi and the liberals"""" identity politics horseshit.""""",not-offensive
6220,@user Hate mongering is No solution for NFL KNEELERS - change up your playbook losers,offensive
6221,@user Can you Say Insanity? #LockThemAllUp #HandCuffsForHillary #MAGA,offensive
6222,"@user The pot calling the kettle black. Most disisive &amp; dirty political party right now is the one you are running for You use the words more perfect union"""" yet your party shows its bigotry &amp; hatred towards conservatives, republicans, &amp; all who have a different opinion #maga @user",not-offensive
6223,@user IM VERY HORIBBLE AND SHITTY THATS HOW I AM😭,offensive
6224,@user Exactly! Ford is just a damn pawn for the Baby-Adults of America / aka Democrats. #SheIsALiar 🤥- I ❤️ that Conservatives will control the highest court for 20+ years.,not-offensive
6225,@user @user @user @user Fuck yeah!!!,offensive
6226,@user @user @user Black conservatives are routinely labeled by Black 1% as “Uncle Tom’s.” That is attacking Black conservatives for being Black.,not-offensive
6227,"Rahm Emanuel’s failure is an ill omen for all Democrats""""  #TCOT #MAGA #RedNationRising""""",offensive
6228,@user Why add insult to injury? He is 100% devoid of empathy.,not-offensive
6229,@user @user Why the fuck do you cover American politics more than Canadian politics? @user is a fucking disgrace. Report news. All news. Not just the stuff that makes conservatives look bad and ignore the stuff that makes liberals look bad.,offensive
6230,@user Such a liar. Anything Trump says to Mueller will be deemed a lie because THREE dishonest LIBERALS collude to lie &amp; Mueller will elect to believe them over the truth. Do you really believe Trump OR THE AMERICAN PEOPLE are stupid enough to fall for that? We're not as stupid as you.,offensive
6231,"@user @user all out war"""" with @user is hilariously insubstantial😂😂""""",not-offensive
6232,@user Perfect example of a country with gun control. I bet those guys were happy the criminals didn’t have guns.,offensive
6233,@user Had you radical liberals supported President Bush's plan to allow YOUNG people to invest 2% and only 2% of the Social Security into the private marketplace we may be solvent by now!,not-offensive
6234,It is time to take these people down and take their power now before they hurt our PTOTUS!! These people are ABUSING their power that was given to them in trust! ..@USER #Maga #QAnon #WakeUpAmerica,offensive
6235,@user @user So you are going to deflect away from nearly 3000 dead due the the lack of post hurricane support from the Trump administration by using the deportation of a single 92 year old man? You sir are the offensive one.,offensive
6236,@user @user @user @user @user Because he is a scummy human being.,offensive
6237,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Well hello there,not-offensive
6238,Ain't got no chill for u bro. Stay the fuck away from me. 😤,not-offensive
6239,@user I think she is the reason the “victim” had a polygraph. Even @user has questions about the validity of her accusation.,not-offensive
6240,@user Can you believe we just had a President with a fake ID?,not-offensive
6241,@user Yet you guys spent the best part of 5 years speculating Obamas birth. Hypocrisy is the trademark of conservatives it seems.,not-offensive
6242,@user I prefer not to speak,not-offensive
6243,@user Liberals at there lowest,not-offensive
6244,11/COPY:  @user @user @user @user @user @user @user @user @user @user @user @user @user  @user @user @user @user @user @user @user @user @user @user @user @user,not-offensive
6245,@user @user @user @user @user @user @user I cited the Constitution. That’s not good enough for you?,not-offensive
6246,@user And then we can issue each one of them a pink unicorn.,not-offensive
6247,@user Haha that's just because I'm unique. A lot of Americans can't find Sweden on a map. And I'm like jag älskar Sverige😍💙💛🇸🇪❤️,not-offensive
6248,Maybe we aren't  #qanon #qarmytrain #wwg1wga #DrainTheDeepState #MAGA,not-offensive
6249,@user @user Omg!!! A good guy is now evil!!!! Same thing happening is America!!! The Globalist world leaders with all their money would have us believe what is evil is good and what is good is evil!! I’ve read that in the good book!!  For the end time!!!!,offensive
6250,@user 🤷🏼‍♀️ that would be silly.,offensive
6251,Come on #maga,not-offensive
6252,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Found some - please FB?,not-offensive
6253,@user @user @user John careful... liberals will attack you for thinking critically because the facts aren't on their side,offensive
6254,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user I never talked about gun control in any form.,offensive
6255,@user @user @user @user @user @user @user @user She is just as beautiful inside as she outside She Loves the thrill of the ride and VIB's,not-offensive
6256,@user There is almost no one that liberals won't insult in defense of their ideological agenda,not-offensive
6257,@user you have the best booty and everything you are stunning love you so want to cum in you so deep!,not-offensive
6258,@user Well she is dumb as a box of rocks so will give her a pass,offensive
6259,@user He is what the industry stands for. All about spreadsheets and no care for the human side.,offensive
6260,@user @user WHAT A DOG..SHE IS...,offensive
6261,@user The killer is in the house. #MAGA #WallDoesntProtectFromAmericans,offensive
6262,@user CAN I PLZ GET A FOLLOW CAUSE I LOVE YOU SO MUCH AND I WAS THE FIRST PERSON TO LIKE UR VID?💛,not-offensive
6263,@user @user The failure is the Liberal experiment to rush everyone away from Traditional Christian Family Values. We have always had violence but liberal ideology has destroyed society. Liberals create crisis situations to further their warped attempt to take power away from individuals.,not-offensive
6264,@user Mann i ain’t that smoove booty like you gee 😭😆🤷🏽‍♂️,offensive
6265,"@user @user @user I hope all remember and think real"""" hard.  Folks, you are just a Carbon Reduction to them. And they are looking for MORE.",not-offensive
6266,@user you are very persuasive fam,not-offensive
6267,@user I also understand a lot of the followers are #MAGA and #Cult45 aligned politically.,not-offensive
6268,@user Even Antifa are mocking him now 😂,not-offensive
6269,@user C’mon brah! Go finish your mother fucking apple cider beer and shut the fuck up!!! Adults are trying to have some fun on Twitter... 🖕🏽😂🖕🏽,offensive
6270,#ThursdayThoughts- FUCK liberals. Forever.,offensive
6271,@user As Catholics RUN from Parrishes,not-offensive
6272,@user He is perfect for the part! Im with it .,not-offensive
6273,(Good for you Gov) Gov. Cuomo gets endorsement of nation's largest gun control group: @user @user @user @user @user @user @user @user @user @user @user @user @user @user,not-offensive
6274,@user My friend is involved in the gun control movement-had the same discussion with her. She really believes semi automatic guns aka “ Assault Rifles” spray bullets with one trigger pull. Total ignorance,offensive
6275,@user It’s Anita Hill versus Clarence Thomas all over again. I hope this confirmation process has the same end result.  #MAGA 😊👍🏼👏🏼🙏🏼✌🏼👮🏻👩🏻‍✈️🇺🇸🇵🇷,not-offensive
6276,@user  A beast? She is certainly not attracted nor amused to do it with one. 0/10,not-offensive
6277,Just imagine the tyranny we’d be living under had these leftwing tryants waging war on us and our duly elected president and the American Republic itself gained tyrannical control of the US Supreme Court the neocon’s #NeverTrump crew was trying to deliver to them?  #MAGA,not-offensive
6278,@user He’s an actor. Please wake up.,not-offensive
6279,@user He is telling you he knows where his bum is. Writes “ass” with his bottom. What more proof of higher intelligence do you need?,offensive
6280,@user @user @user I love your spirit and taking a stand for our great country.. I wish these liberals  go to a Socialist country,not-offensive
6281,"@user @user @user @user @user @user @user @user @user And by the way - You're response is a perfect example of Liberal Deflection. MOPE, def. be dejected and apathetic"""". Exactly what Liberals have been since Clinton lost.""""",not-offensive
6282,@user Remember. People who make up stories don't ask the FBI to investigate those stories. #KAG #MAGA #KavanaughAccuser,not-offensive
6283,@user @user Exactly! You have shined a light on the core issue. And I have been saying this for years to deaf ears. Conservatives have to start supporting conservative voices and messages in the arts. Until then they will always be fighting from a defensive position.,not-offensive
6284,@user So Dissapointing. This guy is the biggest hypocrite in the country. Embarrassing that he is our Senator,offensive
6285,@user oh fuck i forgot about poopy in my diaper pants you know me before i know myself,offensive
6286,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Dint pay any attention to her...she's yet to say anything of interest... meme jerk.,offensive
6287,@user @user It is all okay with the liberals if it furthers their agenda. They have no core.,not-offensive
6288,@user @user Neither do conservatives with May at the helm,not-offensive
6289,#VoteRepublican♨️#ARM♨️#AmericanRedMidterms  We can't let the Democrats take back the tax cuts and the reforms that have put more money in so many pockets.   #Conservatives #Independents #Undecided #WalkAway #LJMAGA  #GoRedStateByState,not-offensive
6290,@user @user ANTIFA feet.,not-offensive
6291,"@user &lt; help. I should call my father to let him know you are up. I'll be right back.  I lean down placing a chaste kiss against his cheek. Once I pulled away, I give him a bright smile as I walk out of the room to call my father.   I know he's &gt;""""",not-offensive
6292,@user @user Make you not to vote republican,not-offensive
6293,@user Keep up the good work while the liberals waste time crying and pointing the country moves closer to greatness again! MAGA,offensive
6294,Shop   #80s #BREAKING #FORTNITEANDROID #kungfu #fantasy #movies #Trump #maga #80s #tech #texas #trending #SundayMotivation #maga #gop #GameofThrones #beard #men #news #BREAKING #kungfu #shop #shoponline #TXSen #texas,not-offensive
6295,A tear is made of 1% water and 99% feelings.,not-offensive
6296,@user yo he is gorgeous 😍😍,not-offensive
6297,@user Trying to shape opinion. #MockingbirdMedia at it's worse.. Read the comments.. It failed miserably.. #MAGA #GreatAwakening #TheStorm  #WeThePeople  #WWG1WGA  #DrainTheSwamp #ReleaseTheVideo  @user #MockingbirdMedia #FakeNews  @user #QAnon #QAnon8chan,offensive
6298,@user @user Obesity high on the list. But people still care more about  gun control,not-offensive
6299,@user Coming from a person from Chicago...kook!,not-offensive
6300,@user @user Amazing all the projection she is doing.,not-offensive
6301,"@user I better use some Tic Tacs just in case I start kissing her. You know, I’m automatically attracted to beautiful — I just start kissing them. It’s like a magnet.Just kiss. I don’t even wait. And when you’re a star, they let you do it. You can do anything.""""""""",not-offensive
6302,. there he is; theirs the first baby; growing so fast; how cute; fabulous to see him again thanks for sharing #,not-offensive
6303,@user It’s like that mother with the spoiled rotten bad as heck kid. She still loves that brat and when bad things happen to him because he is a brat and deserves it-she still sympathizes with her child. Norm should realize when your livelihood depends on....,offensive
6304,@user @user You missed seeing Pruitt chewing butt all the way to the end. He's all business. I love it,offensive
6305,@user You have to admit. These Democrats know how to fleece the dollars out of other Democrats. Stormy has made huge profits from D’s flooding strip clubs to stick a dollar in her G. Liberals are the easiest in our society to fool..,not-offensive
6306,@user I have a strong feeling a high % of them will vote blue.  Gun control is their main focus.,not-offensive
6307,@user @user Oh shit the mafia have finally found me,offensive
6308,@user Good game man,not-offensive
6309,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Even pedophiles in interviews will tell you the only way to stop them is to kill them. Pedophiles even admit to when out of prison they will offend again and that’s what keeps them alive in prison... the hope of another opportunity to molest an innocent child. They are sick f*cks,offensive
6310,@user The more this woman talks the more stupid she becomes. #TermLimits #Liberals,offensive
6311,@user Yeah - because ANTIFA are nothing but violent thugs who assault anyone and everything.,offensive
6312,"@user You &amp; your husband are double-talking hypocrites. We can see right through your gun control"""" facade. What you really want is for us to give up our guns while you &amp; your husband get to keep your guns.""""",offensive
6313,"#ProjectReality has just upped in pace.  @user f@USER business"""" in favour of the 1% of tax-dodgers  @user cheer on as manufacturing gets ready to #ExitFromBrexit through relocation  Time to #endthechaos &amp; #StopBrexit   Time for a #finalsay via a #PeoplesVote",not-offensive
6314,@user God help us. Please get out and vote!,not-offensive
6315,@user Congrats love! You are proof that with enough courage and determination you can literally overcome anything. Thank you for being a beacon of hope to everyone. 🤟🏼💛,not-offensive
6316,@user Doct Tape Please!,not-offensive
6317,@user BCashhhhhhhhhhconnectttt!!!,not-offensive
6318,@user Globalist TOOL.,not-offensive
6319,@user We appreciate your patience and compliance. Thank you for supporting our future.,not-offensive
6320,@user He had to talk about how great he was because nobody else was.,not-offensive
6321,@user He is adorable @user,not-offensive
6322,#LeviStrauss Takes Stand On #GunControl #CBS #SanFrancisco #NoMoreLevis #guns #NRA #USA @user #GOP #libertarian #conservative,not-offensive
6323,@user @user You think they’ll “get” violent? Antifa already is..... I do agree it will get worse.  That’s why we all need to learn self defense and get concealed carry approved w/insurance.,not-offensive
6324,@user So basically you are now preaching what they religious end of world people have been doing. Congrats,not-offensive
6325,@user Testing $7.31 support line is what she is doing new all time high if it doesn't break,not-offensive
6326,@user @user @user @user @user @user @user @user @user @user The FBI would be the proper authority to administer this polygraph despite their corruption at the top of their organization.,offensive
6327,@user Bring back Janet Yellen.  She is the author of low prime rate and stable growth &amp; income.,not-offensive
6328,@user @user @user @user @user She is a leftist activist.  Biased to stop Judge Cavanaugh.  Do I need to draw you a picture??,not-offensive
6329,@user She is so adorable!,not-offensive
6330,@user Assuming she is a comedian........thought you had to be funny with a great sense of humor.,not-offensive
6331,@user Are you sure she was't just thinking about herself.,not-offensive
6332,@user You already know he is 😂😂😂 and then blown coverages that gave Ole Miss TD,not-offensive
6333,"@user Actually, it was Hitler who patterned his style after the Democrats in America,  Hey! That's what we should do"""" and he did.""""",not-offensive
6334,@user @user Why does @user have this censored as potentially sensitive material?  #PanicInDC #QAnon #WWG1WGA @user,not-offensive
6335,We stand with Kavanaugh 🇺🇸 MAGA,not-offensive
6336,@user Liberals support this I thought.,not-offensive
6337,"@user But the wicked  like the troubled sea, when it cannot rest, whose waters cast up mire and dirt. no peace, saith my God, to the wicked."""" Isaiah 57:20-21""""",not-offensive
6338,@user He is brilliant.,not-offensive
6339,@user The off and on gun control debate starts again.,not-offensive
6340,@user @user And he is signing briefs on behalf of Special Counsel Mueller.,not-offensive
6341,@user And you think that the US doesn't have a gun control problem....?,not-offensive
6342,@user For what??? Lies and rumors being spread by liberals with their known pattern? Hell NO.,offensive
6343,The beauty of #TheView is that no one pretends not to be a leftist.  @user #maga,offensive
6344,@user The hypocrisy of the #NEverTrump movement exposed. We hate Trump but thumbs up for his vile policies and anti abortion SCOTUS pick.  Why liberals claim them as our allies boggles my mind.,not-offensive
6345,@user Wow...mid way through 2018 and Theresa May and the Conservatives discover that Social housing exists,not-offensive
6346,@user @user Anyone rating 100 RIfles as better than Deliverance doesn't deserve the right to be read.,not-offensive
6347,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Deplorables beware..some lights might be turned off..like streetlights,not-offensive
6348,@user The global elitists never thought you would win. Just like our Trump. America knows your truth and knows how you are trying to help your citizens. Stay strong. America knows and supports you. The NWO will NEVER win!,not-offensive
6349,@user Poor old Rudy he is as full of shit as a Christmas Goose.,offensive
6350,@user I want to fight one of you for real you are taking the piss,offensive
6351,@user Texas race is no race. Believe it liberals!,not-offensive
6352,@user She is demented.,offensive
6353,@user @user HE IS BEST OF THE BEST! BARUN SOBTI,not-offensive
6354,Kyky do u love me ? Are u in Anfield ? Putain la cliiimmmm #LIVPSG,not-offensive
6355,@user I heard ur cock was big and lonely,offensive
6356,@user @user So Alyssa you saying he’s guilty?  What ever happened to innocent before guilty?  And if he is innocent would you at least tweet an apology?  Shut up and answer the tweet.,offensive
6357,@user A thought I had watching this “does she know where she is or what’s going on?”,not-offensive
6358,".@USER is demanding we all do better this time around with Kavanaugh: Survivors are always asking ‘am I safe?’ she wrote. Right now, conservatives, you are telling them ‘NO.’"""" #LarryNassar""""",not-offensive
6359,Still canny get er somecunt in maga telling us no to go into bananas cos French boys were spiking folks drinks &amp; kerr turns round n shouts fuck it free dunt 😂😂😂😂,offensive
6360,@user that shit different frfr.,offensive
6361,@user Even though he has proved to be very efficient in almost every regard since taking office.  Hillary should fade away.,not-offensive
6362,@user @user once again using people to advance herself #WalkAwayDemocrats,not-offensive
6363,@user LOL LOL LOL LOL LOL!!!!!!!😂😂😂😂😂😂😂. You are a fool!!!,offensive
6364,Chances @user got @user ‘s Mario Cart penis confused with one of the few thousand she’s had since then. Can you remember what a specific slice of pizza 🍕 you at 15 years ago looks like? Dems like ancient memory based accusations #ConfirmKavanaughNow #MAGA,offensive
6365,@user think it's disgusting more money is being spent in my opinion they need to look closer to home wear she is,not-offensive
6366,@user @user I didn’t have them in school... did us no harm... they are a distraction and you are in school to learn.......,not-offensive
6367,@user @user Sounds to like the FISA court may have a problem too!. 🇺🇸#MAGA🇺🇸 🇺🇸#KAG🇺🇸 🇺🇸#BUILD the WALL🇺🇸,not-offensive
6368,@user its okay but you are the emo too i'm not  LOOK TO YOUR ICON AND USERNAME JUST LOOK,not-offensive
6369,@user @user @user Yea right. I’m from nyc and she’s  easy to read. Dumb and has a chameleon personality.  Fits in everywhere Bc she is diff to diff people.,not-offensive
6370,Happiest Birthday to the greatest Constitution on God's green earth! 🇺🇸 @user #DevilYouLoseAgain #LetTheTribunalsBegin #TheRainmakers #TrumpWorld #Rainmakersunite #WWG1WGA #QAnon #MAGA. #KAG #Q828 #ThePersistence,not-offensive
6371,@user The interview is an important part of the hiring process. And selling yourself may not come naturally. Let's make sure you're fully prepared: ^TN,not-offensive
6372,@user You are so freaking valid,not-offensive
6373,@user @user More Jewish theatrics from (((Google))),not-offensive
6374,@user @user @user @user @user That was fucking fast holy shit lol,offensive
6375,@user @user a nice cartoon.,not-offensive
6376,@user Pick me pls.,not-offensive
6377,@user @user “BuzzFeed News contacted the woman believed to be the subject of the letter at her home last week. She declined to comment. BuzzFeed News has not been able to confirm the contents of the letter.”  Now hearing she is a high school classmate.,not-offensive
6378,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user So true! Poor basement dweller!!,offensive
6379,@user why cant we go 1 day without things being awful.,not-offensive
6380,Active shooter Middleton WI several ambulances 🚑 on stand by waiting for police to clear building #MAGA #TrumpTrain @user @user #KeepAmericaGreat2020 @user,not-offensive
6381,@user But he is back on the weed.,not-offensive
6382,Also I do not support antifa in any way. Using violence or intimidation for a political message is the definition of terrorism. Regardless of someone’s beliefs you should not incite violence on people over the belief and they should not do so over you.,not-offensive
6383,@user Glad he is on a winner,not-offensive
6384,@user I liked it in a so bad it's good way. She is so miscast it's amazing,not-offensive
6385,@user Goofy’s grandfather.,not-offensive
6386,@user Fartacus,not-offensive
6387,@user Maybe your underlying theory is wrong.   There are a number of ways in which the nomination supports MAGA. Some of which Trump has hinted at.,not-offensive
6388,@user @user @user @user Eddie you are the king of L’s. You need to learn how to get W’s. Mike and I consistently get W’s which is something that you can’t ever get.,not-offensive
6389,@user As he should. The world doesn't stop because you liberals wanna hijack a process and delay at all costs.,offensive
6390,@user @user Have you noticed that kavanaugh hasnt actually answered any real question  posed on Roe v wade or gun control and even civil rights,not-offensive
6391,@user @user He is also speaking as the other man in the room.   Remember he kept silent and allowed kids to be sexually assaulted....we will call him the Mark Judge in this case.,not-offensive
6392,@user @user Now thats a diffrent situation but either way you gotta appreciate considering the fact that he is actually liking it just to impress it means he aint like that,not-offensive
6393,@user Actually it’s only libs that ACTUALLY follow up on their threats  36 cops murdered so far by libs 100s of cops shot by libs Dozens of republican congressman attempted murder by libs Antifa assaulting on behalf of libs,not-offensive
6394,@user Just followed you! Nice to know there are liberals in Florida! Adearfriendnjust moved there and is surrounded by red!,not-offensive
6395,@user *REPLACES CHICKENS WITH GUN CONTROL*,offensive
6396,"@user Shit like this is why I don't follow @user  Who me? I'm just stating basic facts.  Totally NOT diverting from the actual point. Just stating a fact.""""  You're a phony""""",offensive
6397,@user @user @user Top 15!? Yes he is??,not-offensive
6398,@user Just know that she is in a better place,not-offensive
6399,@user She is not friendly!,not-offensive
6400,@user @user I’ve been complaining about this shit all tournament long. They think people in USA care more about Roger Federer favorite food than they do watching Americans play. It’s such a turnoff that I turn the channel,offensive
6401,"#MAGA people are very low IQ. GDP Growth"""" means LITERALLY NOTHING. In no way does this translate to higher income for white familes or individuals. All that billions goes to companies or government.   And what jobs did he create? Labour which pays less than living wage lmao?",offensive
6402,@user @user Sshh 🙊 she is lying😏😅😭😂,not-offensive
6403,@user What do you do when you are bored? #AskAlly,not-offensive
6404,@user Now do gun control,not-offensive
6405,@user @user @user How did we get from antifa violence to charts on gun deaths and Trump? You keep moving the goal posts. From defending antifa violence by posting  60 year old kkk statistics and claiming that there is a threat to Democrat rallies like the violence  Republicans experience?,not-offensive
6406,@user @user @user Oh you just wait til you see the next hurricane meal I tweet out!  You are gonna be sooo jealous...,not-offensive
6407,@user i love you so much💞 and i'm so proud of the great actress you are today,not-offensive
6408,@user @user Wish u folks luck w that. I think you’re fucked though.. There will never be enough pro gun folks elected in California to turn the tide on gun control. The masses are convinced guns only equal bad.  They already tell u which &amp; how many guns you can buy.  Now ammo. What’s left?,offensive
6409,@user @user @user @user @user What does it matter who I vote for..it’s the left who pushes for gun control yet portrays black men in music vids as violent gun “users”..stfu! Lmao sleeping fools,offensive
6410,@user Happy Belated Birthday sexy man😬,not-offensive
6411,@user You are kind and attentive. Thank you 🙏🏾Peace to you @user,not-offensive
6412,@user @user then why is America succeeding under President Trump.,not-offensive
6413,@user @user @user @user It’s called educating liberals.,not-offensive
6414,@user @user @user @user Love this.,not-offensive
6415,@user If you’re not an ancom then you should be on my side,not-offensive
6416,@user you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption,offensive
6417,@user And the fact he called you a nigger after you respectfully told him your preference damn near proves that theory 🤦🏽‍♀️,offensive
6418,@user SHE IS CUTE I LOV HER,not-offensive
6419,@user You don't know her she is Senegalese 😂😂,not-offensive
6420,@user @user I’m not a muppet. I’m a 6’2” 215 lbs voter who is of Puerto Rican decent that doesnt take BS from white liberals like you.,offensive
6421,@user We’re fighting back against corporate gun control and we could use some help spreading the word. Check it out:,not-offensive
6422,@user Lol they have no idea Nazis were socialist. Their complete inability to grasp reality is so mind blowing. Antifa is no shit calling for a civil war to defend slavery. The confederacy considered Lincoln a fascist too... hmmmm.,offensive
6423,@user Yeah she is and oh I’m working that day but we will plan it!,not-offensive
6424,@user hi i love youuuuuu. i hope you are doing okay right now ariana. i lovee youuuu,not-offensive
6425,@user Dude you are so right.. one just triggers the other 🙃,not-offensive
6426,@user @user Of course she is! Probably has the record over her lifetime.,not-offensive
6427,@user @user Or he is part of the fraud they pulled together.,offensive
6428,@user @user Murda fucker,offensive
6429,@user @user @user @user Term limits won't work any better than gun control for the same reasons. In particular for the Congress.,not-offensive
6430,@user @user of coarse he is alex and many other nation leaders are as we;ll lapdpgs,offensive
6431,"@user @user @user Gawd you are missing the point so hard. Yes she could have. Point is she is expected too. The responsibility lies solely on the woman in our culture. The man is not berated for his actions. The woman is. Listen to you silly girl"""" you are part of that culture.""""",offensive
6432,@user #BrettKavanaugh is the right man for the job. Liberals need to give up already.,not-offensive
6433,@user Another sick liberal 🤭,offensive
6434,@user BONO  IS AN ASSHOLE.,not-offensive
6435,@user @user @user @user Who is ok with Antifa? I’m not. There are medicines for your condition ma’am...,not-offensive
6436,@user Nope. Not going to miss his sorry ass at all.,offensive
6437,@user @user @user @user yes he is,not-offensive
6438,@user I believe he asked people 2 vote out aishwarya bcos she is mentally unstable n has mood swings,offensive
6439,@user @user @user You are happy your all friend.,not-offensive
6440,@user Corrupt dcrats in charge in PR the big problem,offensive
6441,@user He's worried about his bottom line that's what upsets him,not-offensive
6442,@user @user @user I wasn't aware there was big money in sensible gun control 🤔,not-offensive
6443,@user Omg i am so sorry u have to go through that but once she is out it would be worth it i love u austin and ell and lets not forget about the new baby you guys are such good people so keep doing what you do best and keep inspiring me and the other ACE FAMILY members i love u guys😍,not-offensive
6444,"@user @user @user Especially those who play the Good Religious Boy"""" routine as 80% of their """"Job Interview"""". Seriously, imagine pulling that crap in a job interview &amp; then imagine - interview for Supreme Court Justice.  Kav spends WAY too much time talking about how pure he is.""""",offensive
6445,@user You’ve been selected by Liberals! Are you cheating on your voters. You should have changed your mind before the election Ms. Alleslev,not-offensive
6446,@user @user @user @user @user You are under a delusion if you think calling HRC backers idiots is attacking the messenger. They are not the MESSENGERS they are the ones that signed for and took delivery of the message. But that was packaged and sent by the DNC.,offensive
6447,@user He's another one of the puke pool!! It's getting pretty full I can tell you that for sure!!!,offensive
6448,@user David Dennison might know where he is.,not-offensive
6449,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Follow everyone on this tweet. We have to fight Twitter AND the Democrats!,not-offensive
6450,@user I'd like to see some retribution going forward. It's abuse to endanger your child and your pet.,not-offensive
6451,@user @user Congress tried Secret Shah Bano strategy for #TripleTalaq.   Then they openly took a position to appease Muslim conservatives for votes. @user trying to confuse now about their position on it again for votes.   People of India are smarter now to know their real reason.,not-offensive
6452,@user UR SO FUCKIDNG PRETTY PERHAPS I SHED TEARS,offensive
6453,@user @user @user @user @user It’s really weird to see him on the ice on another team. Slap in the face.,not-offensive
6454,@user @user U a dickhead for that😂,offensive
6455,@user Ford's takeover of the Ontario Conservatives makes Trump's takeover of the GOP look geologically slow.,not-offensive
6456,20 more votes for #Democrats &amp; let's see... How many murders of #Conservatives #justsaying,offensive
6457,@user @user @user @user @user @user @user @user @user @user @user @user @user You're welcome Bob! I hope you are having an excellent Wednesday!,not-offensive
6458,@user @user Give the kid a break! He is trying to bring about change! We desperately need something to change our violent society!,not-offensive
6459,@user @user @user Because i'm a little concerned about the Q followers because they slowly become more and more a sort of right wing sjw antifa thingie  (Also excuse me for my horrible English it's not my native languase and didn't had much schooling in it so i'm sorry if it sucks. 😅),not-offensive
6460,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user How an #evangelist speaks when he is filled with holy spook,offensive
6461,56 million defenseless people were rounded up and exterminated in the 20th Century because  of gun control.,not-offensive
6462,@user His ego gets in the way. He is not a great coach. Good but not great. There are several coaches that could win with the talent at Auburn.,not-offensive
6463,@user all those muscles,not-offensive
6464,@user Democrats have no laws!!😡😡😡,not-offensive
6465,"@user @user Sure. The far left and Merkel lost faith in him. For indoctrinated Germans on the southpole everything seems north far (right). Maaßen was removed because he called an Antifa-spade a spade. Well, to you promoted"""" because he spoke up against Merkel &amp; press hysteria. Contradiction""""",not-offensive
6466,"...We can no longer sit on the sidelines and remain silent on this issue."""" - Chip Bergh, chief executive @user   This is what #PeopleOverProfits looks like. 👏",offensive
6467,Was this a threat from @user #DangerousDemocrats #maga,offensive
6468,@user Censorship,not-offensive
6469,@user @user Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,offensive
6470,@user @user Dude... listen to yourself... igl is so much mure than just calling.. all the prepwork and everything.. yeah so niko called in one game or in one map... it’s like MIBR with cold n fallen... he is such an important player for this roster. 4 superstars and the team works. #KARRIGAN,not-offensive
6471,@user Liberals always be liberalling.,not-offensive
6472,@user Speaks volumes to the shift of political ideology in Canada when a sitting Liberal MP identifies more with the the Opposition Conservatives.  Both parties have shifted too far left.,not-offensive
6473,@user @user Anything he does right now will be over shadowed by Florence.  I think he is holding till after the storm.,not-offensive
6474,@user Im voting for @user and @user as well as other constitutionalist republicans. Thank you for fighting for America. We appreciate you @user #maga #KeepAmericaGreat,not-offensive
6475,"@user Screw you and that keep up"""" shit honestly 😂""""",offensive
6476,@user You don’t get it it all. Women don’t like to come forward because of men like you. When they finally do come forward men LIKE YOU either slut shame them or call them liars. Men LIKE YOU are shy a lot of victims remain silent.,offensive
6477,"@user @user @user @user The rules today were put in place to prevent players acting like those bad boys"""" of the past. She is a professional, she knew that her coach broke the rules, he admitted as much. Saying others don't or didn't get called is no defence. She was only fighting to be above the law.""""",not-offensive
6478,@user @user LMAOOO fucking love you see you hotties soon xox,offensive
6479,@user @user I tape it. Then when he is talking I fast-forward it. It’s funny to see his lips moving and not hear him!,not-offensive
6480,@user He passes the ball to Keita instead should have actually shot and we would not be having any discussion. If anything he is quite selfless,not-offensive
6481,@user Only for conservatives. Liberals elevate the person and make them their Presidential nominee. Only a person like Trump seems immune.,not-offensive
